,away_FT_goals,away_atk,away_corners,away_def,away_formation,away_fouls,away_gk,away_mid,away_red,away_shots,away_shots_target,away_team,away_yellow,date,home_FT_goals,home_atk,home_corners,home_def,home_formation,home_fouls,home_gk,home_mid,home_red,home_shots,home_shots_target,home_team,home_yellow,B365A,B365H,B365D
268,1,,4,,,12,,,0,7,6,St Johnstone,2,2011-09-16,0,,5,,,3,,,0,6,3,Motherwell,0,,,
269,1,,8,,,9,,,0,16,10,Hibernian,3,2011-09-16,0,,6,,,7,,,0,11,5,Dunfermline,0,,,
270,2,,3,,,15,,,0,4,3,Kilmarnock,3,2011-09-16,1,,8,,,12,,,0,12,5,Aberdeen,2,,,
271,1,,8,,,11,,,0,8,3,Inverness C,2,2011-09-16,2,,7,,,10,,,0,7,5,Dundee United,1,,,
272,2,,3,,,19,,,1,6,5,Celtic,2,2011-09-17,1,,3,,,8,,,0,13,6,Rangers,0,,,
273,0,,9,,,8,,,0,7,4,Kilmarnock,3,2011-09-23,2,,1,,,11,,,0,11,5,St Mirren,2,,,
274,0,,9,,,13,,,0,4,2,Inverness C,1,2011-09-23,2,,5,,,7,,,0,7,4,Celtic,0,,,
275,2,,11,,,10,,,0,17,10,Rangers,0,2011-09-23,0,,4,,,9,,,0,5,4,Dunfermline,1,,,
276,2,,4,,,7,,,0,7,4,Dundee United,2,2011-09-23,1,,7,,,8,,,0,9,7,Hibernian,2,,,
277,0,,5,,,18,,,0,8,7,Aberdeen,2,2011-09-23,0,,2,,,10,,,0,8,5,Motherwell,1,,,
278,0,,6,,,10,,,0,7,4,Hearts,4,2011-09-24,1,,5,,,17,,,0,6,3,St Johnstone,3,,,
279,0,,7,,,9,,,0,6,2,Kilmarnock,3,2011-09-26,0,,13,,,9,,,0,23,9,Rangers,1,,,
280,1,,4,,,4,,,0,10,2,St Johnstone,1,2011-09-27,2,,3,,,10,,,0,6,2,Hibernian,1,,,
281,0,,4,,,5,,,0,6,3,Dunfermline,0,2011-09-29,3,,15,,,13,,,0,27,12,Aberdeen,0,,,
282,2,,4,,,9,,,0,4,2,Motherwell,0,2011-09-30,0,,3,,,8,,,0,6,3,Dundee United,0,,,
283,0,,3,,,12,,,0,10,3,Hibernian,1,2011-09-30,0,,6,,,7,,,0,16,10,Rangers,1,,,
284,1,,7,,,12,,,0,4,3,St Mirren,1,2011-09-30,1,,8,,,16,,,0,9,5,Inverness C,1,,,
285,1,,9,,,5,,,0,7,5,St Johnstone,1,2011-09-30,1,,12,,,4,,,0,12,7,Kilmarnock,1,,,
286,0,,12,,,17,,,1,13,7,Celtic,1,2011-10-01,0,,3,,,16,,,0,7,4,Hearts,2,,,
287,0,,7,,,11,,,0,7,1,Dundee United,2,2011-10-14,1,,2,,,16,,,0,6,3,Aberdeen,1,,,
288,1,,2,,,11,,,0,7,4,Hearts,1,2011-10-14,0,,6,,,10,,,0,1,0,Dunfermline,3,,,
289,1,,7,,,8,,,0,10,4,Motherwell,1,2011-10-14,0,,4,,,9,,,0,10,3,Hibernian,2,,,
